title, post
‘Security situation worsening’,RAUTAHAT NOVEMBER 11 Nepal Communist Party (NCP) Province 2 Chairperson Prabhu Sah who was elected as member of Parliament from Rautahat Constituency-3 has observed that the security situation in the district has worsened due to the police force’s love for commission. Speaking to journalists in Gaur today the ruling party leader lamented the tendency of the police administration to unnecessarily hassle individuals buying goods from India for their personal use. “Big smugglers are doing their illegal business using their connections but when it comes to ordinary people the police are arresting them for commission even if they bring things that are not found in the local markets for personal use” observed Sah. “Since the entire police force is busy controlling smuggling from across the border it has led to the increase in crime in the Tarai districts” the leader reasoned. “We have a system that allows police to receive commission for giving a tip-off about a smuggling bid or something. This is not good; we can propose such incentive for ordinary people instead not for police personnel” he added. Sah particularly cited incidents of police seizing chemical fertiliser brought by farmers from India. Chemical fertiliser is in short supply in Nepal now. “The police’s success isn’t reflected by their ability to arrest these poor people bringing things that are in short supply in Nepal from India” he argued.   A version of this article appears in print on November 12 2020 of The Himalayan Times.  
Qatar Prince’s expedition team scales Mt Amadablam,KATHMANDU: Prince of Qatar Sheikh Mohammed bin Abdulla Al Thani and his team successfully scaled Mt Amadablam in the Everest region. According to Iswari Paudel Managing Director at Himalayan Guides six members of the team along with seven Sherpa climbers stood atop the mountain at around 11:30 am today. Paudel informed that the climbers who scaled Amadablam include Garrett Christian Madison Jennifer Lynn Drummond Theodore Gates Hesser Mohammed Abdulla M A Al Thani Chase Allan Merriam Elia Saikaly and seven Sherpa climbers — Aang Phurba Sherpa Siddhi Bahadur Tamang Mingmar Sherpa Ming Dorchi Sherpa Pasdawa Sherpa Pasang Dawa Sherpa and Pasang Kaji Sherpa. Being a member of both the Qatari and Sharjah royal families Al Thani Goodwill Ambassador of Reach Out to Asia (ROTA) has already climbed the seven summits becoming the first Qatari to achieve this feat. Born and raised in Sharjah Al Thani the father of three had also scaled Mt Everest on May 22 2013 to raise US $1 million for ROTA’s education projects in Nepal. Al Thani belongs to the Sharjah royal family by his paternal grandmother – sister of the current Emir of Sharjah. Earlier Bahrain Royal Guard Expedition with Bahrain Prince Mohamed Hamad Mohamed Al Khalifa successfully scaled Mt Manaslu on October 15 making the year’s first ever summit to Nepal’s 8000er mountain.  
People from high hills migrating to lowlands as mercury dips,BAJURA NOVEMBER 11 With the mercury plummeting further the indigenous communities of the upper belt of Bajura and other nearby districts have started migrating to lower elevations in western Nepal. Just like the previous years this year too the residents of northern Bajura Humla and Mugu have started descending to lower elevations with their herd of sheep and Himalayan goats and cows. Most of these families migrate to places such as Barhabisa and Kuldevmandau of Bajura Achham Doti and Surkhet. Migrating to lower elevations helps them shun the extreme cold. Most of these families engage in trade to make some money during this time. Lok Gurung of Pandusen Himali Rural Municipality is heading to Achham with his seven-member family. He will stay there for around six months. “People say we must stay at our own place to be keep coronavirus away but we have no option. We can’t stay put in our own place and suffer the extreme cold” said Gurung. “More than the fear of the virus we fear the extreme cold that can kill us and again this is the time when we can make some money by doing some business” he said. The Bhote and other communities that live in the upper belt of Bajura go to the bordering Chinese territories to the north during the four months of the rainy season. “We’ve been migrating to lower altitudes for years during this time. It not only helps us avoid the cold but also helps us make some money and look after our family” said Jagat Lama ward 3 member of Gumba Himali Rural Municipality. According to locals the trend of mass migration is depriving kids of education. In Bajura alone more than 640 families of the upper belt migrate to lower altitudes during winter. As everyone in the villages migrate with their families and cattle the kids miss their schools. Again women and their kids are also deprived of basic vaccines during this period. A version of this article appears in print on November 12 2020 of The Himalayan Times.  
FinMin vows to boost confidence of private sector,KATHMANDU NOVEMBER 11 Finance Minister Bishnu Prasad Paudel said that the government would boost the confidence of the private sector by supporting and encouraging them. During a meeting with a delegation led by President of Nepal Chamber of Commerce Rajesh Kazi Shrestha here today Finance Minister Paudel said that the economy could be revived through minimising the adversity caused by COVID 19 by supporting and encouraging the private sector. He said that the government and the private sector should work in collaboration for achieving the goal of economic revival. He urged the private sector to operate trade business and industries by adhering to the health safety protocols to keep the economy moving. He also assured that the government would implement the relief and rehabilitation programmes mentioned in the budget. He further expressed that many problems could be solved if the government understood the problems and difficulties of the private sector and the private sector understood the limits and role of the government. Meanwhile Shrestha urged the government to increase purchasing power to keep the economic sector moving and to create a conducive environment for trade and industry. Nepal Chamber of Commerce also submitted a 22-point suggestion to Finance Minister Paudel. A version of this article appears in print on November 12 2020 of The Himalayan Times.  
Four Sherpa siblings climb Mt Ama Dablam,KATHMANDU: The Seven Summit Treks Ama Dablam Expedition 2020 team comprising four siblings climbed Mt Ama Dablam (6812 metres) today. This undated image shows the Seven Summit Treks Ama Dablam expedition autumn team members posing for a photograph. Photo: SST The eight-member expedition team reached atop the mountain between 7:57 am and 8:15 am according to the manager at Seven Summit Treks Thaneswar Guragai. Four Siblings — Mingma Sherpa Chhang Dawa Sherpa Tashi Lakpa Sherpa and Pasang Sherpa — who are also the directors of Seven Summit Treks climbed Mt Amadablam together. Of the climbers Mingma Sherpa is the first South Asian to scale all 14 peaks above 8000 metres. Expedition director Chhang Dawa and his brother Mingma together hold the world record as ‘first brothers to summit all 14 peaks. Likewise Tashi Lakpa Sherpa is the youngest person to climb Mt Everest (8848m) without the use of supplementary oxygen. Other members of the expedition team who climbed Mt Amadablam are Clément Bouillot Lakpa Sherpa Sophie Lavaud and Dawa Sangay Sherpa. The expedition team members Sophie and Dawa Sangay reached the top of the mountain at 9:50 am.    
Harris’ husband Doug Emhoff poised to break stereotypes,SACRAMENTO: In the Biden White House the first lady wants to keep her job teaching and the second gentleman plans to quit his law firm to support the vice president’s career. When it comes to political marriages we’ve reached a new moment.   Doug Emhoff the 56-year-old husband of Vice President-elect Kamala Harris will leave his private law practice by Inauguration Day to focus on his role at the White House a spokesperson said Tuesday. He’s said little so far about how he’ll approach the role and is still working with the transition team on what issues he’ll tackle. “We’ve been waiting for this sort of gender switch for decades now” said Kim Nalder a professor of political science who has focused on women and gender at California State University-Sacramento. She added “There is a lot of symbolism from a man stepping back from his high-powered career in order to support his wife’s career.” Spouses often build public awareness or advocacy campaigns around key issues. Current second lady Karen Pence promotes art therapy and focuses on military families. Jill Biden also spotlighted military families and promoted community colleges as the vice president’s wife. Emhoff’s decision to cut ties with DLA Piper also offered an early test of how a Biden administration would avoid potential ethical issues. While Emhoff is not a lobbyist the firm has a large presence lobbying the federal government on behalf of clients including Comcast Raytheon and the government of Puerto Rico. He took a leave of absence from the firm in August when Biden chose Harris a U.S. senator from California as his running mate. While Emhoff built a career as a high-profile entertainment lawyer in Southern California he’s been most visible to voters as Harris’ supportive husband. He quickly befriended other political spouses in the Democratic primary when Harris sought the party’s nomination. “I want more women in office and I want more partners whoever their partner is to support them and to provide an opportunity and an environment for success” Emhoff said in an October interview with the digital site NowThis News. He was not made available for an interview with The Associated Press. Chasten Buttigieg the husband of former presidential candidate Pete Buttigieg said the two quickly formed a friendship as they swapped stories about people they were meeting and their strange “fish out of water” experiences as political spouses. Emhoff would compliment Chasten Buttigieg on his speeches at events and never approached him as a competitor. “He was just there for the right reasons” Chasten Buttigieg said. “It was because he loved his wife and he thought that she would make a great president.” Buttigieg who also would have broken barriers as a male presidential spouse said he remembered how often he was asked what title he would use a question that seemed frivolous. (Emhoff hasn’t officially selected his title. But Biden has referred to him as the “second gentleman.”) Buttigieg expects Emhoff to thrive in his new job as a public servant. “You just have to be someone that people can see themselves in” he said. “People love chatting with him and getting pictures with him. He’s always full of dad jokes and he’s really disarming.” Emhoff embraced his role as a political surrogate during the campaign. He will be the first Jewish spouse of a president or a vice president and he was a prominent liaison to Jewish groups and donors. He also developed a close friendship with Jill Biden a former second lady and the two campaigned together frequently in states including Iowa and New Hampshire. Jill Biden has said she wants to keep teaching at a community college as she did when Joe Biden was the vice president. Harris on Monday tweeted a photo of herself and Emhoff smiling on the night Biden was announced the winner of the election. “Meet the love of my life” she told her 11 million followers. It was Emhoff who filmed a video of Harris calling Biden after news of their win which she shared on social media. Harris and Emhoff met in 2013 and married a year later. It was Harris’ first marriage and Emhoff’s second; his children are in their 20s and call Harris “Momala” a play on her name and a Yiddish word for “little mother.” The two were set up by a friend and Harris recalls the scrutiny she faced as a single woman in her 40s and her hesitance to be public about her relationships in her memoir “The Truths We Hold.” She first brought Emhoff out in public to a 2014 speech about a truancy initiative she’d pursued. Her team would refer to everything that came next as A.D. — After Doug. “They knew how much he made me laugh. I did too” she writes. Harris was attorney general of California at the time and Emhoff was practicing law as a managing director for the West Coast branch of Venable LLP handling clients in the entertainment industry with a focus on trademark disputes and intellectual property. He’d previously represented clients including Merck Walmart and an arms-dealer based in Fresno California clients that today seem out of step with progressive wings of the Democratic Party. When Harris began her term in the U.S. Senate in 2017 Emhoff moved to DLA Piper which had a presence in Washington and Los Angeles where Harris and Emhoff split their time. More recently he’s represented clients including a production company and a prominent wine maker. John Bessler the husband of Minnesota Sen. Amy Klobuchar who is also a lawyer called Emhoff a “modern man” for dedicating time to Harris’ political career over his own. “This is just another example of how supportive he’s being of Kamala” he said.  
Texas tops 1 million cases as COVID-19 surge engulfs the US,Texas on Wednesday became the first state with more than 1 million confirmed COVID-19 cases and California closed in on that mark as a surge of coronavirus infections engulfs the country. In New York Gov. Andrew Cuomo said all restaurants bars and gyms statewide will have to close at 10 p.m. starting Friday a major retreat in a corner of the U.S. that had seemingly brought the virus largely under control months ago. He also barred private gatherings of more than 10 people.   Texas the second-most populous state has recorded 1.02 million coronavirus cases and over 19000 deaths since the outbreak began in early March according to data compiled by Johns Hopkins University. California the most populous state has logged more than 995000 cases. The U.S. has recorded over 240000 deaths and more than 10.3 million confirmed infections with new cases soaring to all-time highs of well over 120000 per day over the past week. Health experts have blamed the increase in part on the onset of cold weather and growing frustration with mask-wearing and other precautions. Cases per day are on the rise in 49 states and deaths per day are climbing in 39. A month ago the U.S. was seeing about 730 COVID-19 deaths per day on average; that has now surpassed 970. Among the many health officials sounding the alarm was Dr. Julie Watson of Integris Health in Oklahoma. “We are in trouble” she said. “If nothing is done soon to slow the rise in cases our hospitals will be more overwhelmed than they already are and we won’t be able to be there for all of those who need it.” Oklahoma’s health department said Wednesday that 1248 people were hospitalized for confirmed or probable coronavirus shattering the previous one-day record of 1055. Texas reported 10865 new cases on Tuesday breaking a record set in mid-July. One of the hardest-hit places is the border city of El Paso; its county has nearly 28000 active cases and has suffered more than 680 COVID-19 deaths. The American Medical Association renewed its plea for mask-wearing physical distancing and frequent hand-washing. “With the holidays quickly approaching each of us must do everything possible to reduce the spread of COVID-19” AMA President Susan Bailey said. “Failing to do our part will prolong the suffering and disruption to our lives and inevitably lead to more deaths of our friends neighbors and loved ones.” Meanwhile many traditional Veterans Day celebrations gave way to somber virtual gatherings Wednesday. Many veterans homes have barred visitors to protect their residents from the virus. In New York City a quiet parade of military vehicles with no spectators rolled through Manhattan to maintain the 101-year tradition of veterans marching on Fifth Avenue. More than 4200 veterans have died from COVID-19 at hospitals and homes run by the Department of Veterans Affairs and nearly 85000 have been infected according to the department. Around the country: — The NFL’s Minnesota Vikings said it will close its remaining home games to fans as the state blew past its record for new deaths in a day. Minnesota Gov. Tim Walz announced new restrictions on bars and restaurants and said he wishes the neighboring Dakotas would take more aggressive steps to slow the spread of the coronavirus. He said this summer’s Sturgis Motorcycle Rally in South Dakota was “absolutely unnecessary” and helped spread the virus beyond that state. — Ohio Gov. Mike DeWine issued new orders on mask enforcement at businesses while threatening to close bars restaurants and fitness centers if infections keep surging. The Republican governor shifted the authority over mask enforcement from the counties to the state. If a business receives more than one violation it must close for 24 hours. He’s also requiring businesses to display ‘No Mask No Service’ signs and refuse service to customers who don’t comply. But DeWine’s orders Wednesday were not as far-reaching as in March when Ohio became one of the first states to go into lockdown. — In Nebraska which is setting records for COVID-19 hospitalizations new restrictions took effect Wednesday. Those include a requirement to wear masks at businesses where employees have close contact with customers for more than 15 minutes such as barbershops and a limit on large indoor gatherings to 25% of a building’s capacity. Gov. Pete Ricketts and his wife have gone into quarantine after being exposed to someone with the virus. — North Carolina reported its highest single-day increase in coronavirus cases since the start of the pandemic with 3119 people — 8% of those tested — testing positive for the virus. — Kentucky posted a record daily high for new confirmed cases at 2700 as the governor implored people to wear masks to counter the accelerating outbreak. — A group of Utah teachers is encouraging colleagues statewide to call in sick Thursday and use the day to get tested for the virus. Some teachers believe the action could prompt state officials to do more to increase classroom safety. — In Sioux Falls the largest city in hard-hit South Dakota Mayor Paul TenHaken cast a tie-breaking vote that defeated a proposed mask mandate. Violations would have carried a $50 fine. — North Dakota continues to have the most new COVID-19 cases per capita in the nation according to Johns Hopkins data with one in every 83 residents testing positive in the past week.  
YouTube back up after worldwide outage,YouTube owned by Alphabet Inc’s Google GOOGL.O said late on Wednesday it had fixed a glitch that led to a worldwide outage of the video-streaming service. DownDetector.com a website which monitors outages showed nearly 286000 incidents of people reporting issues with the service. The issue started at around 6:53 p.m. ET (23:53 GMT) according to Downdetector.com with users complaining about trouble in watching videos on the platform. “We’re so sorry for the interruption. This is fixed across all devices & YouTube services” YouTube said in a tweet bit.ly/36r4sjz without explaining what had caused the outage. Google did not respond to a Reuters request for comment on the outage.  
UNFPA UK govt hand over IT equipment to CBS to aid upcoming census,KATHMANDU NOVEMBER 11 United Nations Population Fund today handed over IT equipment to the Central Bureau of Statistics as it ramps up its preparations for the 12th National Population and Housing Census due to take place in June. UNFPA Country Representative in Nepal Lubna Baqi hands over IT equipment to Director General of Central Bureau of Statistics Nebin Lal Shrestha at the CSB office in Kathmandu on Wednesday November 11 2020. Photo: THT The IT equipment which is worth Rs 72 million had been procured by UNFPA with UKaid funding and comprises 2250 tablets with power-banks and accessories 35 laptops 47 desktop computers five mobile work-stations one server and three high resolution printers. It will enable CBS to produce census data that meets the highest technological standards said a press release issued by UNFPA today. Need for high-quality and reliable population data has been underscored by the global COVID-19 pandemic and is also essential to measure Nepal’s progress towards Sustainable Development Goals with strong commitment of leaving no one behind. The use of innovative technology in 2021 National Population and Housing Census including tablets in selected census enumeration areas will ensure that CBS captures detailed data on how many people are living in the country their health and well-being problems and prospects and socio-economic circumstances. ‘ The 2021 NPHC data will be valuable for policymakers and planners to understand the situation across the country development needs and where or how to invest from schools to health care to roads. The Government of Nepal is committed to conducting the 2021 NPHC in line with international standards and to ensure that the data collected are used to improve the lives and realise the rights of those who are at risk of being left behind. Officials of Central Bureau of Statistics and UNFPA with the census IT equipment on Wednesday November 11 2020. United Nations Population Fund handed over IT equipment to the Central Bureau of Statistics. Photo: THT “We commit to undertake the census to address the data gap at the lowest administrative level while ensuring that health and safety precautions of our personnel and respondents is in compliance with the government guidance” said Nebin Lal Shrestha Director General CBS which has been leading census operation under the guidance of the National Census Steering Committee chaired by vice-chairperson of the National Planning Commission. The IT equipment will strengthen CBS’s infrastructure and capacity and complement its efforts to modernise the census operation through multi-method approach of data collection. UNFPA has been supporting the Government of Nepal to undertake the12th NPHC recognising that reliable and timely data is the foundation of sustainable and inclusive development in Nepal. “The census is the cornerstone of the statistical infrastructure. It provides numerical profile of the country and is of great value to the public and government alike. UNFPA is proud to offer technical and financial support to the government to ensure that the census is of high-quality upholds international standards and produces data that are widely disseminated for development gains” said Lubna Baqi UNFPA country representative in Nepal. “The census is one of the most important chances to capture data so that government development partners and community organisations can direct their assistance in the best way. This will help improve services provided to women men children poor vulnerable and other groups of people” said Lisa Honan Development Director at British Embassy Kathmandu. A version of this article appears in print on November 12 2020 of The Himalayan Times.  
Tiger kills five in a month in Bardiya,NEPALGUNJ NOVEMBER 11 A person died on the spot after a spotted tiger attacked him in Geruwa Rural Municipality Bardiya on Saturday. He was taking the cattle to the nearby river for grazing. The deceased has been identified as Lahanu Tharu 58 of the rural municipality. The tiger also took an ox towards the jungle after leaving Tharu on the spot. The rural municipality is near Bardiya National Park. A team of experts from the national park and the Nepali Army along with a trapping camera was deployed to take the tiger under control after the incident. The trapping camera was also installed in the jungle to take the tiger under control. Similarly two persons died after a spotted leopard attacked them at Belbhundi Community Forest of Madhuban Municipality on October 27. The deceased have been identified as Dinesh Tharu 27 and Ramesh Tharu 26 of the municipality. Locals demanded that the administration take the tiger under control. Likewise Ganga Budha 28 of the same place had lost her life in a tiger attack on October 21. She had gone to the forest to collect fodder. A boy of Madhuban Municipality had also lost life to a tiger two weeks ago. He had gone to fish in the river. Locals have been in fear after five persons lost their lives within a month. Ram Lakhan Tharu a local said it was very difficult to come out of the house. He added that wild animals might kill anyone at any time. The locals said wild animals had been attacking them for many years. They added that leopards tigers and elephants among other wild animals destroyed crops attacked human beings and cattle. They have demanded that the national park and division forest office manage wild animals and provide compensation to the families. Meanwhile the tiger which had taken the lives of five persons was taken under control from Rajipur area. Bardiya National Park Chief Conservation Officer Bishnu Prasad Shrestha said that a team of technicians had taken the tiger under control after two weeks. Wild animals had terrified locals by attacking humans and cattle in the locality. Feature image: File A version of this article appears in print on November 12 2020 of The Himalayan Times.  
